mean_current,std_current,max,min,peak_to_peak,kurtosis,label
1977.9629999999995,242.79819805922796,2638.8,1421.1,1217.7000000000003,-0.08370079564206989,normal
2031.0710000000004,263.51679121360587,2638.3,1418.3,1220.0000000000002,-0.44300133101488326,normal
1946.7370000000003,245.87497876528286,2535.3,1406.3,1129.0000000000002,-0.569821638447547,normal
2029.2990000000002,263.39772572704914,2648.7,1391.1,1257.6,-0.5223300339252317,normal
1957.771,252.07937955126255,2588.0,1415.1,1172.9,-0.5151027510204838,normal
1994.2979999999995,252.8634278168211,2636.0,1406.0,1230.0,-0.28014279128479913,normal
1986.4549999999997,263.67214007076086,2574.7,1417.0,1157.6999999999998,-0.5069215444963939,normal
1993.24,248.89403895284966,2646.8,1445.6,1201.2000000000003,-0.4348595399748043,normal
2016.372,253.50025166046524,2583.4,1423.6,1159.8000000000002,-0.32901094503844375,normal
1942.559,250.0733581644322,2626.4,1418.8,1207.6000000000001,-0.3273892301226473,normal
2013.6770000000001,254.91312953057306,2575.6,1422.0,1153.6,-0.7153281677155934,normal
1968.4170000000001,264.09245054592816,2580.7,1406.4,1174.2999999999997,-0.4964869221801025,normal
2000.444,245.89586459772485,2616.4,1457.5,1158.9,-0.492127365003745,normal
1984.846,270.6000150880568,2636.2,1403.3,1232.8999999999999,-0.35598287481478996,normal
1990.9019999999998,235.7340291964911,2577.7,1409.0,1168.6999999999998,-0.22554395446369702,normal
1984.479,271.3035216647155,2652.7,1391.6,1261.1,-0.4673758108005406,normal
1982.611,244.64229665395396,2600.8,1404.0,1196.8000000000002,-0.596523323836502,normal
2012.0179999999998,269.60945318828277,2621.8,1415.7,1206.1000000000001,-0.5506437399391002,normal
1948.6269999999997,235.43240504324046,2624.4,1420.0,1204.4,-0.15099843065020035,normal
1972.9460000000004,241.59305646755112,2492.5,1404.1,1088.4,-0.39307002244428624,normal
2033.531,268.1573474076123,2633.8,1407.3,1226.5000000000002,-0.531836672103049,normal
1966.6380000000001,251.39110652607428,2572.4,1397.6,1174.8000000000002,-0.43529772158043967,normal
2008.5779999999995,251.2878652626959,2630.1,1397.9,1232.1999999999998,-0.3161299840816332,normal
1952.3480000000002,262.61851138336027,2561.0,1398.3,1162.7,-0.49456298948094535,normal
2012.6359999999997,239.3921061962798,2567.4,1548.9,1018.5,-0.6741702082714176,normal
1976.0420000000001,266.3100593540006,2607.4,1413.5,1193.9,-0.3926191355571489,normal
1992.845,234.28032392151002,2564.2,1394.5,1169.6999999999998,-0.18907212097747328,normal
1998.3819999999998,271.6058453499902,2643.8,1395.2,1248.6000000000001,-0.4301672480648757,normal
1966.8470000000002,237.88703602781936,2601.3,1407.0,1194.3000000000002,-0.4234874969639266,normal
2011.8080000000004,263.70342106007627,2598.2,1398.3,1199.8999999999999,-0.35093757924655966,normal
1984.415,256.5569708031274,2627.0,1420.6,1206.4,-0.47633939851757434,normal
2017.8139999999999,237.09766943714408,2625.1,1462.0,1163.1,-0.3854947130645354,normal
1992.5659999999998,265.4978358716418,2605.9,1412.5,1193.4,-0.412309144414186,normal
1974.2869999999998,243.35515329939844,2627.5,1431.4,1196.1,-0.517287779645502,normal
2006.8939999999996,268.91360439796097,2625.6,1412.8,1212.8,-0.5462238611579759,normal
1956.489,238.04630264091506,2551.3,1414.9,1136.4,-0.44869864105469626,normal
2027.2670000000005,269.9736515594876,2610.7,1415.4,1195.2999999999997,-0.5452015900480527,normal
1967.2679999999998,230.39539131543833,2393.7,1433.1,960.5999999999999,-0.4046893531205198,normal
2020.2579999999998,257.57839649200776,2592.8,1416.7,1176.1000000000001,-0.4858358832160401,normal
1950.911,251.42593097504215,2637.8,1420.8,1217.0000000000002,-0.3088019889137561,normal
2022.239,252.19229792026366,2629.5,1457.0,1172.5,-0.571939081711645,normal
2011.9210000000003,238.93049295482638,2600.9,1446.0,1154.9,-0.5956160594172322,normal
1974.086,258.6969210751016,2595.0,1432.8,1162.2,-0.4241166528298552,normal
1980.9430000000004,250.4700309720736,2568.3,1424.3,1144.0000000000002,-0.5496671084026379,normal
1993.6819999999998,268.17418596159035,2618.6,1409.3,1209.3,-0.43357897976561377,normal
1978.3449999999998,247.193720040119,2540.0,1406.0,1134.0,-0.6538520714624907,normal
2014.457,263.6761237452746,2611.0,1425.1,1185.9,-0.6216919933391654,normal
